MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2,CID
496.6480000000003,4.654000000000004,0,6,4,60.47000000000001,9,2,1,2,0,1,2,1,7,0.5517241379310345,-2.929999999999999,5.562057555409086,214.816221321723,1.6431823027101653,16.512303449816876,9.875560023059904,0.0,11.949020558499466,44564036
389.4630000000001,2.6977,2,7,5,97.62,6,3,2,2,2,0,1,2,8,0.38095238095238093,-3.2899999999999987,3.82652773274291,168.31428568960098,1.2771016746789192,16.149587405558883,10.100314009176255,0.0,17.990861387647428,118308077
416.5250000000001,4.6475000000000035,1,5,4,67.35,6,3,1,1,1,1,2,0,6,0.32,-3.4099999999999984,4.683692762451607,182.84829855292034,1.5080162154766226,16.47692723726911,9.960722694448918,0.0,17.990861387647428,90404342
486.61200000000014,4.658000000000005,1,5,5,60.03000000000001,8,3,0,2,0,1,3,1,6,0.36666666666666664,-3.509999999999998,4.90964933917602,212.72508823970168,1.4058598693282385,16.508094755944306,9.877015719793382,0.0,17.990861387647428,10939855
337.379,2.7133400000000005,1,4,3,79.37,5,2,0,1,1,1,1,0,6,0.2631578947368421,-3.0199999999999987,3.2830493635235327,145.41611322209388,1.5623495501751818,16.180704133991945,10.094654234655591,5.907179729351506,30.473865482390057,4382154
506.95600000000036,5.040700000000005,1,5,4,59.39,7,3,0,1,1,1,2,0,10,0.36,-3.0399999999999983,5.156687973217043,206.21259702964045,1.7003926200955792,35.49569756888474,9.994091959874002,23.82343166743639,18.263573527148328,24962833
409.4040000000001,4.712100000000004,0,4,3,48.00000000000001,6,2,1,1,0,1,2,0,8,0.38095238095238093,-2.8999999999999986,4.576180551521965,166.5257428691478,1.8859847887307006,19.422448874585086,9.982875860744725,6.362358859030383,30.161194843857338,69082645
386.499,4.039000000000002,0,4,5,49.330000000000005,3,3,2,2,1,2,2,0,5,0.375,-2.9499999999999984,3.456734450980176,170.9284060965473,1.2936712029154147,16.154829004814577,9.71334230034045,0.0,5.41499046939678,53259279
452.55800000000005,4.802600000000004,1,4,5,67.23,6,4,1,1,1,1,3,0,6,0.25,-3.929999999999998,4.31161537734499,198.77742388185547,1.2704760313611598,16.16132501952303,10.03216221137301,6.041840829147961,11.814359458703011,44454877
374.4080000000001,1.6440800000000004,1,8,4,112.62,4,3,1,1,2,1,1,0,9,0.2631578947368421,-3.799999999999999,3.3964570199207533,161.1612373508058,1.5265875151235915,16.153654490238434,10.121281053035775,0.0,17.990861387647428,121418738
587.7020000000002,4.410120000000004,3,7,4,129.73000000000002,11,4,0,0,1,0,3,0,11,0.1935483870967742,-4.899999999999998,7.433262305561473,245.3486561768454,1.463088836109213,32.23327353712485,10.08647176053377,10.023291153407584,22.45935476750469,166634501
391.4180000000001,4.476600000000003,2,4,4,54.02,4,3,1,1,1,0,2,1,8,0.2631578947368421,-2.609999999999999,3.617542760518886,156.97184731754317,1.4902679425755674,32.13354917081145,10.109039805561626,23.10507290314029,17.900902499341818,122438806
422.5140000000002,3.190800000000001,0,8,4,96.93,4,3,1,1,3,1,0,0,9,0.38095238095238093,-3.249999999999999,3.7827693949093124,178.30355489255,1.5644456750664102,32.13348132101521,9.996347991764381,0.0,18.052986946247767,74222752
491.47600000000034,3.1492000000000013,1,8,4,113.96,6,3,0,1,2,1,1,0,13,0.19047619047619047,-3.9999999999999982,3.7275383491599707,193.35375569331177,1.8706963665111938,32.23342986511119,10.142201447185334,39.79705524544701,28.03023269775564,72720982
443.43300000000016,3.5005000000000015,2,7,4,105.58,5,3,1,1,3,0,0,1,11,0.3333333333333333,-3.6299999999999986,4.506494212626798,181.31538987403974,1.515551149043541,19.413188150633978,9.950723835950251,17.278675261523816,23.591287834334423,118308088
966.1079999999993,-4.575600000000014,14,14,1,417.21999999999974,30,1,0,0,1,0,0,0,26,0.6666666666666666,-6.700000000000001,21.28953237938206,394.0867056342968,3.008592388142642,16.36884997414758,9.961821765187457,144.90803608331146,31.09827696110081,44270595
484.4780000000003,4.918900000000004,1,6,4,78.27000000000001,7,4,0,0,2,0,2,0,10,0.24,-4.079999999999998,5.20811484678604,199.04381325348805,1.565724861073746,19.413193991607233,10.049754681996921,24.253811703004892,28.649158595664318,70817382
287.33799999999997,3.8281000000000027,2,2,3,54.02,2,2,1,1,1,0,1,1,5,0.375,-2.169999999999999,3.122054573904195,122.30826114961182,1.749246574708682,19.142188159532928,9.956174311508859,0.0,23.40687690014819,54584555
2363.738999999996,-14.229299999999922,35,34,1,1073.8199999999993,81,1,0,0,1,0,0,0,66,0.6767676767676768,-16.33000000000001,59.92584019423656,957.7081917708789,3.502123545257209,32.166373940351946,9.975746280554988,381.85820352594163,100.82867221958278,44270581
450.93000000000023,4.265420000000003,1,6,5,88.92999999999999,4,4,1,1,2,1,2,0,9,0.30434782608695654,-3.3899999999999983,3.135233937288807,189.70327245991245,1.5945032472795548,35.49569222352145,9.966092739786763,5.538925252383345,5.907179729351506,91801202
417.55700000000013,3.994340000000003,0,5,5,54.260000000000005,3,3,2,2,2,2,1,0,6,0.48,-2.889999999999999,3.5788307239568518,183.4423643473468,1.3245460190898015,16.15484672237668,9.713725416749575,0.0,5.41499046939678,56970625
2375.793999999996,-12.563999999999925,34,33,1,1053.5899999999992,82,1,0,0,1,0,0,0,65,0.6831683168316832,-16.29000000000001,60.77976611368755,965.6438422474761,3.5137476707103907,32.166373991294854,9.963132805360816,375.75423713819316,113.1673998886702,44270580
2445.884999999996,-12.328299999999935,34,34,2,1065.0299999999993,82,1,1,1,1,1,0,0,66,0.6952380952380952,-16.33000000000001,58.571212305636905,995.1019847903249,2.4090085529581513,32.16637435661594,9.957620815017068,381.35528794917695,132.5537995404348,44270594
623.7310000000001,6.587320000000006,2,6,5,114.04,9,5,0,0,0,0,5,0,10,0.14285714285714285,-5.349999999999997,6.606021401424962,262.0094136591363,1.4958912027230846,32.23327377621795,10.023282595534047,10.023291153407584,22.45935476750469,168278051
